index,category,clean_skills
1,HR,"['Performance Management', 'Human Resources', 'Talent Management', 'Talent Acquisition', 'Recruiting', 'Strategy', 'Change Management', 'Deferred Compensation', 'Strategic HR', 'HR Policies', 'Compensation & Benefits', 'Business Strategy', 'Strategic Human Resource Planning', 'Succession Planning', 'Vendor Management', 'Workforce Planning', 'HRIS', 'Personnel Management', 'Employee Relations', 'Management', 'Employee Engagement', 'Leadership', 'Team Management', 'Conflict Management', 'People Skills', 'Performance Appraisal', 'Organizational Structure', 'Certified career coach', 'Certified Hogan assessor and coach']"
2,HR,"['Talent Acquisition', 'Employee Engagement', 'Vendor Management', 'Human Resources', 'Recruiting', 'Performance Management', 'HR Policies', 'Resource Management', 'Program Management', 'Benefits Negotiation', 'CRM', 'SDLC', 'Telecommunications', 'Change Management', 'VAS', 'Project Planning', 'Strategic HR', 'Customer Relationship Management \\(CRM\\)', 'Budgets', 'HR Transformation', 'Service Delivery', 'Strategy', 'HRIS', 'MIS', 'Talent Management', 'Team Management', 'Employee Relations', 'Performance Appraisal', 'Personnel Management', 'Strategic Partnerships', 'Training Delivery', 'Management', 'Incentive Programs']"
3,HR,"['Human Resources', 'Recruiting', 'Team Management', 'Talent Acquisition', 'Technical Recruiting', 'Screening', 'Vendor Management', 'SDLC', 'Business Development', 'Market Research', 'Strategic Planning', 'College Recruiting', 'Resource Management', 'Benefits Negotiation', 'Performance Management', 'Hiring', 'Executive Search', 'Management', 'Talent Management', 'Sourcing', 'Training', 'Employee Relations']"
4,HR,['']
5,HR,"['Team Management', 'Human Resources', 'Employee Engagement', 'Talent Acquisition', 'Deferred Compensation', 'ERP', 'SDLC', 'HR Consulting', 'Change Management', 'Strategic HR', 'Business Process Improvement', 'MIS', 'HRIS', 'PeopleSoft', 'Cognos', 'Management', 'Personnel Management', 'Talent Management', 'Employee Relations', 'Performance Appraisal', 'Process Improvement', 'Shared Services']"
6,HR,"['Human Resources', 'Employee Engagement', 'Performance Appraisal', 'Performance Management', 'Benefits Negotiation', 'HRIS', 'Team Management', 'Management', 'Talent Management', 'Employee Relations', 'Negotiation', 'Team Building', 'Personnel Management']"
7,HR,"['Retail Banking', 'Banking', 'Team Management', 'Branch Banking', 'Human Resources', 'Business Development', 'Vendor Management', 'Cross Selling', 'Strategic HR', 'MIS', 'Management Information Systems \\(MIS\\)', 'Management', 'Employee Engagement']"
8,HR,"['Talent Management', 'Human Resources', 'Employee Engagement']"
9,HR,"['Requirements Analysis', 'Software Project Management', 'Pre-sales', 'Agile Methodologies', 'Vendor Management', 'Business Analysis', 'SDLC', 'Program Management', 'Project Management', 'Business Intelligence', 'Product Management', 'Outsourcing', 'Business Strategy', 'Business Development', 'Project Planning', 'Sales Enablement', 'SOA', 'Global Delivery', 'Solution Architecture', '.NET', 'SaaS', 'Team Management']"
10,HR,"['Performance Management', 'Employee Engagement', 'Training']"
11,HR,"['Recruiting', 'Human Resources', 'Performance Appraisal', 'Strategic Human Resource Planning', 'Strategic HR', 'Technical Recruiting', 'Screening', 'Talent Acquisition', 'JavaScript', 'HRIS', 'Human Resources Information Systems \\(HRIS\\)', 'Management Information Systems \\(MIS\\)', 'MIS', 'Management', 'Employee Engagement', 'Team Management', 'Interviewing', 'Employee Relations', 'Sourcing', 'Team Leadership', 'Interviews']"
12,HR,"['Administration:Coordinating & Handling operation works', 'keeping records \\(soft']"
13,HR,"['Talent Management', 'Human Resources', 'Employee Engagement']"
14,HR,"['Compensation & Benefits', 'HR Operations', 'Labor Relations', 'Employee Benefits', 'Team Management', 'Management', 'HR Analytics', 'HRIS Database Management', 'Employee Wellness']"
15,HR,['']
16,HR,"['Leadership', 'Strategic Human Resource Planning', 'Talent Management', 'Talent Acquisition', 'Onboarding', 'New Hire Orientations', 'Manpower Planning', 'Recruitment and Selection', 'Succession Planning', 'Performance Management', 'Organizational Development', 'Employee Relations', 'Exit Management', 'Stakeholder Management', 'Employee Engagement', 'Team Management', 'Career Development', 'Counseling', 'Conflict Resolution', 'Staff Retention', 'Employee Surveys', 'Coaching and Mentoring', 'Employee Grievance', 'Reward and Recognition']"
17,HR,['']
18,HR,"['HRIS', 'Human Resources', 'Employee Training', 'Performance Management', 'Recruiting', 'Strategic HR', 'Payroll', 'Benefits Administration', 'Screening', 'Business Strategy', 'Manpower Planning', 'Sourcing', 'Employee Relations', 'Talent Management', 'Training', 'Team Management', 'Management', 'Performance Appraisal', 'Training & Development']"
19,HR,"['Performance Appraisal', 'HR Policies', 'Employee Relations', 'Recruiting', 'Human Resources', 'Strategic HR', 'Performance Management', 'Payroll', 'Screening', 'HR Consulting', 'Strategic Human Resource Planning', 'Talent Acquisition', 'Recruitments', 'HRIS', 'Human Resources Information Systems \\(HRIS\\)', 'Employee Engagement', 'Personnel Management', 'Industrial Relations', 'Talent Management', 'Training', 'Sourcing', 'Organizational Development', 'Labor Relations']"
20,HR,"['Microsoft Office', 'Customer Service', 'Management']"
21,HR,"['Recruiting', 'Employee Engagement', 'Team Management', 'Human Resources', 'Talent Acquisition', 'Payroll', 'Performance Management', 'Vendor Management', 'Recruitments', 'Sales', 'Technical Recruiting', 'Screening', 'Executive Search', 'MIS', 'Performance Appraisal', 'Training', 'Talent Management', 'Employee Relations', 'HR Automation']"
22,HR,"['Microsoft Office', 'Microsoft Excel', 'Microsoft Word']"
23,HR,"['HR Analytics', 'Workforce Analytics', 'Business Analytics', 'Project Management', 'Compensation & Benefits', 'Human Resources', 'Strategy', 'HR Policies', 'Customer Relationship Management \\(CRM\\)', 'Microsoft Office', 'Microsoft Excel', 'MIS Reporting', 'Management', 'Team Management', 'Training', 'Leadership', 'Employee Relations', 'Talent Management', 'Descriptive Analytics/Business Intelligence', 'Predictive Analytics', 'Prescriptive Analytics', 'Advanced knowledge in Microsoft Office', 'HR Dashboard', 'Total Rewards Strategies', 'Redundancy Programmes', 'People Analytics']"
24,HR,"['Management', 'Microsoft Office', 'Screening']"
25,HR,"['Business Analysis', 'Vendor Management', 'Team Management']"
26,HR,['']
27,HR,"['Operations Management', 'Program Management', 'Talent Management']"
28,HR,"['Agile Methodologies', 'Software Project Management', 'Requirements Analysis']"
29,HR,"['HR Policies', 'Management', 'Performance Appraisal', 'Human Resources', 'Recruiting', 'Marketing', 'Market Research', 'HR Consulting', 'Screening', 'Strategic Planning', 'Employer Branding', 'Performance Management', 'Vendor Management', 'Benefits Negotiation', 'Business Development', 'Marketing Strategy', 'Talent Acquisition', 'Recruitments', 'Strategic HR', 'Business Planning', 'Strategic Human Resource Planning', 'MIS', 'Team Management', 'Employee Engagement', 'Training', 'Sourcing', 'Employee Relations', 'Talent Management', 'Personnel Management', 'Interviews', 'New Business Development']"
30,HR,['']
31,HR,['']
32,HR,['']
33,HR,"['Employee Engagement', 'Performance Management', 'Recruiting', 'Human Resources', 'Talent Acquisition', 'Screening', 'Recruitments', 'Vendor Management', 'Business Development', 'Technical Recruiting', 'Business Strategy', 'HR Policies', 'HR Consulting', 'Compensation & Benefit', 'Compensation & Benefits', 'HRIS', 'Human Resources Information Systems \\(HRIS\\)', 'Team Management', 'Talent Management', 'Personnel Management', 'Management', 'Sourcing', 'Organizational Development', 'Employee Relations', 'Performance Appraisal', 'Leadership']"
34,HR,"['Strategy', 'Human Resources', 'Management', 'Change Management', 'Program Management', 'Project Planning', 'Business Development', 'Leadership', 'Talent Management', 'Team Management', 'Stakeholder Management', 'Personnel Management', 'Employee Engagement', 'Performance Appraisal']"
35,HR,"['Recruiting', 'Talent Acquisition', 'Human Resources', 'Screening', 'Technical Recruiting', 'Manufacturing', 'Automotive', 'Performance Management', 'Engineering', 'HR Policies', 'Business Intelligence', 'Operations Management', 'Benefits Negotiation', 'Research', 'Internal Communications', 'Telecommunications', 'Onboarding', 'College Recruiting', 'Hiring', 'Vendor Management', 'MIS', 'Microsoft Office', 'Management Information Systems \\(MIS\\)', 'Leadership', 'Employee Relations', 'Employee Engagement', 'Sourcing', 'Personnel Management', 'Negotiation', 'Time Management', 'People Skills', 'Team Management', 'Interviewing', 'Mentoring', 'Networking', 'Coordination', 'Recruitment / Training / PMS / Employee Relations']"
36,HR,['']
37,HR,"['Personnel Management', 'Human Resources', 'Team Management']"
38,HR,"['Talent Acquisition', 'Employee Relations', 'Team Management', 'End to End Recruitments', 'Recruiting', 'Vendor Management', 'Succession Planning', 'Onboarding', 'Performance Management', 'Human Resources', 'New Hire Orientations', 'Temporary Placement', 'Technical Recruiting', 'Screening', 'Hiring', 'executive recruitment', 'HR Business Partner', 'Employee Engagement', 'Management', 'Talent Management', 'Leadership', 'Interviews', 'Sourcing', 'Interviewing', 'Induction Program', 'Process Improvement', 'Talent Scouting']"
39,HR,"['HR Policy Formulation', 'Compensation & Benefits', 'Performance Management', 'Human Resources', 'Business Strategy', 'Recruiting', 'PowerPoint', 'Microsoft Office', 'Microsoft Excel', 'Human Resources Information Systems \\(HRIS\\)', 'Management', 'Team Management', 'Teamwork', 'Employee Engagement', 'SuccessFactors', 'Employee Learning & Development', 'HR Strategy']"
40,HR,"['Human Resources', 'Training', 'Team Building', 'Recruiting', 'Change Management', 'Strategic Planning', 'Performance Management', 'Strategy', 'Management Consulting', 'Talent Acquisition', 'Operations Management', 'Organizational Development', 'Industrial Relations', 'Employee Engagement', 'Leadership', 'Personnel Management']"
41,HR,"['Human Resources', 'Personnel Management', 'Performance Appraisal', 'HR Policies', 'Talent Acquisition', 'Job Descriptions', 'Deferred Compensation', 'HR Consulting', 'Strategic HR', 'Performance Management', 'Recruiting', 'Recruitments', 'Screening', 'HRIS', 'Employee Engagement', 'Employee Relations', 'Sourcing', 'Talent Management']"
42,HR,"['Management', 'Team Management', 'Recruiting']"
43,HR,"['Team Management', 'Microsoft Office', 'Microsoft Excel']"
44,HR,['']
45,HR,"['Business Development', 'Management', 'Human Resources']"
46,HR,"['Human Resources', 'Team Management', 'Onboarding']"
47,HR,"['Talent Acquisition', 'Leadership', 'Human Resources', 'Onboarding', 'Recruiting', 'Screening Resumes', 'Performance Management', 'Retail', 'Microsoft Office', 'Team Building', 'Employee Relations', 'Talent Management', 'Customer Service', 'Employee Training', 'Sourcing', 'Time Management', 'Training', 'Management', 'Negotiation', 'Staff Development', 'Interviews', 'Industrial Relations', 'Interviewing', 'Labor Relations', 'Human Capital']"
48,HR,"['Microsoft Excel', 'HR Analytics', 'Talent Acquisition', 'Research', 'Start-ups', 'Information Technology', 'Banking', 'Applicant Tracking Systems', 'Talent Management', 'Client Co-ordination', 'Stakeholders Managment', 'Data Science and Analytice Hiring', 'Data Communication Hiring', 'Socila Media Hiring', 'Report']"
49,HR,['']
50,HR,"['Human Resources', 'Recruiting', 'Management']"
51,Designing,"['Architecture', 'Interior Design', 'Project Management']"
52,Designing,"['Packaging Design', 'Watercolor Illustration', 'Social Media Marketing']"
53,Designing,"['Microsoft Office', 'Apparel', 'Fashion Illustration', 'Market Research', 'Real Estate', 'Textiles', 'Wovens', 'Denim', 'Fashion Design', 'Knitwear', 'Fashion', 'Trend Analysis', 'Styling', 'Sportswear', 'Textile Design', 'Merchandising', 'Product Development', 'Sketching', 'Fashion Buying', 'Fashion Shows', 'Trend Forecasting', 'Footwear', 'Visual Merchandising', 'Retail', 'Microsoft Excel', 'Photoshop', 'Illustrator', 'XML', 'Sourcing', 'Draping', 'Pattern', 'Embroidery', 'Textile Industry', 'Outerwear', 'Shirts', 'Leather', 'Fabric Development', 'Dyeing', 'Fit', 'Dresses', 'Tech Packs', 'Mood Boards', 'Garment Manufacturing', 'Trend']"
54,Designing,['']
55,Designing,"['Sketching', 'Industrial Design', 'Architectural Design', 'User-centered Design', 'Rendering', 'Design Research', 'Drawing', 'Architecture', 'Design Strategy', 'Research Design', 'Packaging', 'Packaging Design', 'Concept Development', 'Interior Design', 'Interaction Design', 'Concept Design', 'Photoshop', 'Toys', 'Toy Design']"
56,Designing,['Sketching']
57,Designing,"['Architectural Design', 'Architecture', 'Design Research', 'Photography', 'Sketching', 'Interior Design', 'Urban Design', 'Graphic Design', 'Interior Architecture', 'Revit', 'AutoCAD', 'SketchUp', 'Adobe Photoshop', 'Adobe Indesign CC', 'AutoCAD Architecture', 'Architectural Modeling', 'Architectural Photography', 'Urban', 'Architecture Master planning']"
58,Designing,"['Project Planning', 'Construction', 'Consulting']"
