Module Title,Module Keywords
MATHEMATICS FOR COMPUTING,"Logic Control, Number Systems, Differentiation, Integration, Functions, Counting, Graph Theory, Matrices, Finite-State machines"
Introduction to Programming,"data types, control structures, functions, pointers, arrays, files, recursion, testing, debugging, C language, LINUX operating system"
Introduction to Computer Systems,"computer systems, computer organization, combinational logic circuits, sequential logic circuits, data communication, computer networks"
Object Oriented Concepts,"Object Oriented Programming, design solutions, classes, relationships, C++ Language
"
Software Process Modeling,"Software Engineering, requirement specification, design, implementation, verification, validation, software artifacts, software systems"
Information Systems and Data Modeling,"Information Systems, Data Modeling, Business Process Modeling, relational database systems"
Internet and Web Technologies,"Internet, technologies, applications,  social media, effective use, organizations, individual users, design, web interfaces, UI design principles, design, web interfaces,  web technologies"
Engineering Mathematics,"Engineering Mathematics, mathematical techniques, IT systems, engineering, electrical engineering, computer engineering"
Network Fundamentals,"data communications, computer networks, LANs, basic configurations, routers, switches, IP addressing"
Object Oriented Programming,"Object Oriented Programming, Java Language, concurrency programming, design patterns, software engineering concepts"
Database Management Systems,"Database design, Hands-on experience, Schema refinement, SQL database programming, Logical database design"
Computer Networks,"Configuration TCP, TCP/IP operation, Switching theory, Routing switching, TCP/IP configuration"
Operating Systems and System Administration,"System administration, Lecture tutorial lab, Knowledge learn, Complete unit programming, Operating system component"
Software Engineering,"Object-oriented, Design pattern, Software testing, Modeling language (UML), Applying design pattern"
Digital Electronics,"Logic basic concept, Number system sequential, Engineering graduate, Computer networking engineering"
Probability & Statistics,"Descriptive statistics, Statistical techniques, Statistical software, Statistical inference, Data analysis"
Analogue Electronics,"Analog electronics, Circuitry using discrete devices, Engineering concepts,"
Database Systems Administration,"Oracle Database, Database components, Database architecture, Creating a database, Controlling a database, Installing Oracle Database software, Managing Oracle Instance, Configuring Oracle network environment, User administration, Security, Managing Undo Data, Backup recovery concept"
Routing & Switching,"Routing concepts,
Static routing,
Dynamic routing,
Switched networks,
Switch configuration, 
VLANs,
Access Control Lists (ACLs), 
DHCP (Dynamic Host Configuration Protocol),
NAT (Network Address Translation),
Device discovery,
Management and maintenance"
Database Management Systems for Security,"Design and develop database solutions,
Real-world applications,
Relational query languages,
Database programming
Evaluate query plans
Database servers
Design and implement database maintenance plans
Security and performance concerns"
Introduction to Cyber Security,"Security controls
Risk management
Malicious software
User authentication
Access control
Cryptography
Cryptographic hashes
Symmetric cryptography
Asymmetric cryptography
Public Key Infrastructure (PKI)
Trusted systems
Multilevel security
OS security
Legal and ethical aspects"
Secure Operating Systems,"Operating systems structure
Process management
CPU scheduling
Memory management
Deadlocks
System protection and security
Secondary storage structure
I/O systems
File systems"
Structured Analysis and Design,"Structured analysis and design
Information systems
Business problems
Implementation and maintenance
Computer-aided software engineering (CASE) tools
Organizational matters"
Information Systems Analysis,"Problem solving
Effective problem solvers
Organizational stakeholders
Analyzing complex problems
Appropriate solutions
Collaboration"
Design and Management of Computing Infrastructure,"Network design and management
Fundamental concepts and theory
Evolution
Applications
Technological advancements"
Mobile Application Development,"Mobile application development
Mobile technologies
Mobile applications
Android technologies
Real-world requirements"
Data Structures and Algorithms,"Data structures
Stacks
Queues
Linked lists
Trees
Algorithms
Designing algorithms
Analyzing problems"
IT Project,"Final report writing
System testing activity
Git report
Progress evaluation
ER Diagram activity
Interface designing
Proposal evaluation
Scrum activity
ITP project
Proposal writin"
Discrete Mathematics,"Discrete mathematics
Logic and proof
Sets
Functions
Algorithms
Mathematical reasoning
Relations
Graphs
Trees
Formal languages
Computability"
Foundations of Algorithms,"Computer algorithms
Algorithm design and analysis
Problem-solving skills
Advanced data structures
Recursion
Mathematical induction
Algorithm analysis
Computational complexity
Sorting and searching
Design paradigms
Graph algorithms
Randomized algorithms
Information retrieval
String and pattern matching
Computational geometry"
Advanced Networking Technologies,"Data communications
Network infrastructure
Business environment
Distributed systems
Systems architectural designs
Layered architecture models
Network technologies
Security
Network configuration
Management techniques"
Information Systems Project,"Data communications
Network infrastructure
Business environment
Distributed systems
Systems architectural designs
Layered architecture models
Network technologies
Security
Network configuration
Management techniqu"
Object Oriented Analysis and Design,"ICT industry based project
Project goals
Requirements gathering
Project plans
Implementation
Marketing
Stages of completion"
Advanced Internetworking,"LAN concepts
IPv6
LAN design
Scaling VLANs
Spanning Tree Protocol (STP)
EtherChannel
HSRP
Dynamic routing
Single Area OSPF
EIGR"
Computer Systems Administration,"System and network administration
Command Line Interfaces
System administration tasks
Network administration tasks
Impact of system and network administration
Problem-solving in system administratio"
Operating Systems,"Real-time operating systems
Fundamentals of operating systems
Scheduling mechanisms
Processor reserves
Commercial operating systems"
Embedded Systems,"Embedded system design
Requirement analysis
Closed-loop automatic control
Microcontroller"
Software Engineering Process & Quality Management,"Testing fundamentals and methods
Specification-based test case design
Code coverage analysis
Functional and non-functional testing"
Distributed Systems,"Distributed computing concepts and applications
Distributed systems
Approaches and technologies
Challenges in developing distributed systems"
Application Frameworks,"Presentation frameworks
Persistence frameworks
Web service frameworks
Enterprise applications integration frameworks
Data access frameworks
Test technologies"
User Experience Engineering,"User experience design
Software development life cycle
Design thinking
User investigation
Requirement engineering techniques
User experience testing
Secure design
User experience design trends"
Database Systems,"NoSQL
Hadoop Framework
XML integration
Object RDBMS
RDBMS
Parallel and Distributed DB architectures
Query optimization
Database tuning
Transactions and concurrency control technique"
Case Studies in Software Engineering,"Software engineering topics
Requirements engineering
Software analysis
Detailed design
Software testing
Industry-based case study"
Software Project Management,"Agile project management tool (Azure Dashboard)
Code quality inspection tool (SonarQube)
Distributed version control system (Git)
Test automation framework (Selenium)"
Programming Applications and Frameworks,"Enterprise systems engineering
Web-based applications development
Rich web-based applications development"
Theory and Practices in Statistical Modelling,"Statistical models
Regression
Time series
Statistical package R"
Data Warehousing and Business Intelligence,"Data integration
Business intelligence
Data quality
Data transformation
Data integration modeling
Data warehouse
Data mining
Strategic planning
Analytical insight
Business challenges"
Database Systems and Data-Driven Application,"E-business
Business strategies
E-business concepts
Technical architectures
Usability
User experience
E-commerce sites
Designing e-commerce sites
Testing usability"
Information Retrieval and Web Analytics,"Enterprise information security
Information assets
Protecting information
Security concepts
Security practices"
Fundamentals of Data Mining,"Theory
Practices
Data mining applications
Data pre-processing methods
Algorithms
Frequent pattern mining
Associations
Classification techniques
Clustering techniques
Designing
Developing
Deploying"
Massive Data Processing and cloud Computing,"Massive data processing
Cloud-based infrastructure
Development tools"
Machine Learning and Optimization Methods,"Neural networks
Multilayer neural networks
Optimization
Linear programming
Genetic algorithms"
Mobile Security,"Security impact on organizations
Building effective security
Security concerns
Mobile operating systems (Android/IOS/Windows)
Mobile infrastructure models
3G, 4G, LTE
Mobile security concepts"
Information Security Risk Management,"Risk management approaches
ISACA Certified in Risk and Information Systems Control (CRISC)
Risk identification
Risk assessment
Risk response and mitigation
Risk and control monitoring and reporting
Risk assessments (RA)
Risk management plans (RM)
Regulatory and legal compliance
Control framework
Business continuity
Disaster recovery planning
GRC (governance, risk management, and compliance)"
Data and Operating Systems Security,"Information assurance
Data and operating systems security
Data-dependent access controls
Preventive and detective security mechanisms
Secure database environment
Evaluating operating system security"
Information Security Policy and Management,"Integration and application of information security knowledge
Case-study approach
Information assurance strategies
Controls selection and application
Security policies
Regulatory requirements
Business constraints
Risk communication
Threat identification and remediation"
